27a5a09,Sangit0015,3 minutes ago,Delete p1-p3/ux-evaluation-part3/ux-log.csv
f822490,Sangit0015,3 minutes ago,Delete p1-p3/ux-evaluation-part3/Usability Testing Report.md
77602d6,Sangit0015,3 minutes ago,Delete p1-p3/ux-evaluation-part3/Iteration-Description.md
e43a833,Sangit0015,3 minutes ago,Delete p1-p3/ux-evaluation-part3/Appendix.md
cbc9190,uyan0004,7 minutes ago,Merge branch 'main' of https://github.com/Sangit0015/COMP2030-Assignment
1dbab1b,uyan0004,7 minutes ago,Update UX-Eval.md
1fe5797,Sangit0015,2 hours ago,Added registration function
6684209,Sangit Bhurtel,2 hours ago,Added register
35a9d26,uyan0004,3 hours ago,Merge branch 'main' of https://github.com/Sangit0015/COMP2030-Assignment
5402b0e,uyan0004,3 hours ago,ss adjustment
c7f7d5d,uyan0004,3 hours ago,Merge pull request #28 from Sangit0015/fixing-login-css
7fbff62,uyan0004,3 hours ago,Update Appendix.md
afc51f0,uyan0004,3 hours ago,Merge pull request #27 from Sangit0015/fixing-login-css
b44b208,uyan0004,3 hours ago,uploading final versions after corrections
d291115,uyan0004,4 hours ago,Update login.css
629ec89,uyan0004,4 hours ago,Merge branch 'main' of https://github.com/Sangit0015/COMP2030-Assignment
019f604,uyan0004,4 hours ago,update login css for register page
d648552,blitzedbtw,17 hours ago,Update UX-Eval.md
fe64d86,blitzedbtw,18 hours ago,Update Usability Testing Report.md
351175d,Sangit0015,24 hours ago,Update UX evaluation
a030171,Sangit0015,24 hours ago,Update Metrics for Success section heading
6ebdf8d,Sangit0015,24 hours ago,Update UX-Eval.md
a914211,uyan0004,2 days ago,Merge pull request #24 from Sangit0015/ux-files
d981b58,uyan0004,2 days ago,Added UX log for submission
3c203d0,uyan0004,2 days ago,Merge pull request #23 from Sangit0015/ux-files
ed5a9c1,uyan0004,2 days ago,Update Appendix.md
9697bb8,uyan0004,2 days ago,Merge pull request #22 from Sangit0015/ux-files
87e8596,uyan0004,2 days ago,Update Usability Testing Report.md
57114cb,uyan0004,2 days ago,Merge pull request #21 from Sangit0015/ux-files
f7a70bc,uyan0004,2 days ago,Update Appendix.md
c1ba8f7,uyan0004,2 days ago,Merge pull request #20 from Sangit0015/ux-files
f3ddc2e,uyan0004,2 days ago,updating apendix to add photos
de3b1e0,uyan0004,2 days ago,Merge pull request #19 from Sangit0015/ux-files
487f30a,uyan0004,2 days ago,Update Appendix.md
5f65328,uyan0004,2 days ago,appendix
14e136b,uyan0004,2 days ago,fixing the file location
7b5b2a0,uyan0004,2 days ago,Merge pull request #18 from Sangit0015/ux-files
effe242,uyan0004,2 days ago,fixing the files from other member
441e619,uyan0004,2 days ago,Merge pull request #17 from Sangit0015/ux-files
11ecd4a,uyan0004,2 days ago,adjusting the file location
b4aa79b,dass0027,2 days ago,Merge pull request #16 from Sangit0015/UX-Eval-init
34f68ea,dass0027,2 days ago,Added Part 3 – Iteration Description (UX Evaluation)
8d31b10,Sangit0015,3 days ago,Merge pull request #15 from Sangit0015/Testing-Summary-and-Analysis
ba4c5a2,blitzedbtw,3 days ago,Usability Testing Report
547a658,Sangit0015,4 days ago,Merge pull request #14 from Sangit0015/UX-Eval-init
f717378,Sangit Bhurtel,4 days ago,Initiated UX Evaluation Report
81104f3,Sangit Bhurtel,3 weeks ago,Final v2.0
a907323,Sangit Bhurtel,3 weeks ago,added log for submission
1d9f0f1,Sangit Bhurtel,3 weeks ago,Added sql dump
3888e8b,Sangit0015,3 weeks ago,Merge pull request #13 from Sangit0015/final
aeff852,Sangit Bhurtel,3 weeks ago,Renamed docs to src
a16d296,Sangit Bhurtel,3 weeks ago,Made final changes and ready to submit.
d0af8a3,Sangit0015,3 weeks ago,Merge pull request #12 from Sangit0015/Everything
f0402bc,uyan0004,3 weeks ago,fixing small errors and adding account page and admin dashbaord
833658b,uyan0004,3 weeks ago,Merge pull request #11 from Sangit0015/Everything
7f6f5a3,uyan0004,3 weeks ago,updated footer and  inbox pages
9b26746,Sangit0015,3 weeks ago,Merge pull request #10 from Sangit0015/Everything
f5da3fa,dass0027,3 weeks ago,Add files via upload
5c663dc,dass0027,3 weeks ago,Add files via upload
475c915,dass0027,3 weeks ago,Create .gitkeep
e6750e1,dass0027,3 weeks ago,Add files via upload
da7cc00,Sangit Bhurtel,3 weeks ago,Fixed backend, connected front and backend & made a DB
67e2d8e,dass0027,3 weeks ago,Add files via upload
8d5f9f3,dass0027,3 weeks ago,Create .gitkeep
5f53591,dass0027,3 weeks ago,Add files via upload
1dd3624,dass0027,3 weeks ago,Add files via upload
46a174b,dass0027,3 weeks ago,Add files via upload
eb9afcf,dass0027,3 weeks ago,Update index.html
cc991e5,Sangit Bhurtel,3 weeks ago,Rename src to docs for GitHub Pages
9344bef,uyan0004,3 weeks ago,Merge pull request #7 from Sangit0015/file-adding-to-src-index.html
6d0926b,uyan0004,3 weeks ago,persona drafts
e6eb3cf,uyan0004,3 weeks ago,moving tindex.htm into src
d7d91be,uyan0004,3 weeks ago,tutorial 2
cf9c387,uyan0004,3 weeks ago,Merge pull request #6 from Sangit0015/front-end-pages-
6d60ca6,uyan0004,3 weeks ago,Create index.html
c29816d,Sangit0015,3 weeks ago,Merge pull request #5 from Sangit0015/front-end-pages-
64962a3,uyan0004,3 weeks ago,FRONT END WORK hANSITH
3d6772e,uyan0004,4 weeks ago,website front end rest
5cfd9a4,Sangit Bhurtel,2 months ago,Added commit log for user research part 1
926561d,Sangit0015,2 months ago,Merge pull request #4 from Sangit0015/Info-Arch
cf07708,Sangit Bhurtel,2 months ago,added info arch
